osm_id;code;fclass;name;type;KO;vertex_ind;vertex_par;vertex_p_1;vertex_p_2;distance;angle;geom_x;geom_y;xcoord;ycoord;S1_w;S1-3_w;S1-5_w
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;1;0;0;1;4.97520596844003;44.66675289568532;7643022;5691725;7643021.615227217786014;5691724.952299410477281;0;-0.0145;-0.0669
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;2;0;0;2;8.02148266182688;44.65507009628844;7643025;5691725;7643024.661447894759476;5691724.970773171633482;0;-0.014;-0.0646
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;3;0;0;3;11.50520840845466;44.65969777646451;7643025;5691728;7643024.640629573725164;5691728.454436713829637;0;-0.0142;-0.0643
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;4;0;0;4;32.16697354442369;44.64302367129721;7643045;5691729;7643045.302034742198884;5691728.576399815268815;0;-0.0107;-0.0504
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;5;0;0;5;35.09415705575959;44.62782996702858;7643045;5691732;7643045.282838555984199;5691731.503520382568240;0;-0.0109;-0.0502
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;6;0;0;6;43.35458168136747;134.63700928787986;7643054;5691732;7643053.543092248030007;5691731.556661268696189;0;-0.0097;-0.0454
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;7;0;0;7;49.44272068096030;224.88771833785731;7643054;5691725;7643053.581066958606243;5691725.468640703707933;0;-0.0095;-0.0458
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;8;0;0;8;50.54436201678136;224.90056027469572;7643052;5691725;7643052.479428582824767;5691725.471194484271109;0;-0.0096;-0.0464
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;9;0;0;9;58.07948199740030;224.67557023451005;7643053;5691718;7643052.523051130585372;5691717.936200775206089;0;-0.0093;-0.0468
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;10;0;0;10;63.03584790823506;224.66543500658219;7643048;5691718;7643047.566761154681444;5691717.908765089698136;0;-0.01;-0.0497
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;11;0;0;11;65.90740730871823;224.65184239829517;7643048;5691715;7643047.584401174448431;5691715.037259871140122;0;-0.0098;-0.0499
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;12;0;0;12;88.69530564755354;314.65288022673968;7643025;5691715;7643024.796914376318455;5691714.900306709110737;0;-0.0133;-0.0653
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;13;0;0;13;93.79288323313864;314.63590725850838;7643025;5691720;7643024.765784570947289;5691719.997789242304862;0;-0.0136;-0.0649
357000953;1500;building;Kościół pw. Matki Bożej Królowej Świata;;2;14;0;0;14;96.91580631591160;314.65134030486627;7643022;5691720;7643021.642929554916918;5691719.977170567028224;0;-0.0142;-0.0673
