ID;dist;W1;W1_3;W1_5
1;0;0;0;0
2;50;0;0;0
3;50;0;0;0
4;50;0;0;0
5;50;0;0;0
6;50;0;0;0
7;50;0;0;-0.0001
8;49.99;0;0;-0.0001
9;49.47;0;0;-0.0003
10;49.4;0;-0.0001;-0.0005
11;50;0;-0.0002;-0.0011
12;50;0;-0.0003;-0.0022
13;50;0;-0.0007;-0.0041
14;50;0;-0.0015;-0.0074
15;50;0;-0.003;-0.013
16;49.99;0;-0.0058;-0.022
17;50;0;-0.0109;-0.0365
18;50;0;-0.0201;-0.0591
19;49.99;0;-0.0356;-0.0936
20;50;0;-0.0607;-0.1448
21;50;-0.0001;-0.0997;-0.2192
22;49.64;-0.0001;-0.1517;-0.3115
23;49.87;-0.0001;-0.2152;-0.4197
24;22.36;-0.0001;-0.2553;-0.4911
25;50;-0.0002;-0.3643;-0.6866
26;50;-0.0004;-0.4973;-0.928
27;50;-0.0006;-0.6508;-1.2129
28;49.9;-0.0008;-0.8085;-1.5156
29;50;-0.001;-0.9535;-1.8108
30;49.99;-0.0013;-1.0939;-2.1118
31;49.81;-0.0014;-1.1922;-2.3513
32;49.99;-0.0014;-1.2426;-2.5141
33;49.99;-0.0013;-1.2684;-2.6327
34;50;-0.0012;-1.2766;-2.7133
35;50;-0.0012;-1.2748;-2.7649
36;49.9;-0.001;-1.2378;-2.741
37;50;-0.0007;-1.1714;-2.6505
38;50;-0.0005;-1.1025;-2.5438
39;50;-0.0004;-1.0329;-2.426
40;49.99;-0.0003;-0.9643;-2.3029
41;46.08;-0.0004;-1.0151;-2.4037
42;49.98;-0.0007;-1.1741;-2.7018
43;50;-0.0014;-1.3329;-2.9874
44;50;-0.0025;-1.4885;-3.2548
45;50;-0.0045;-1.634;-3.4916
46;50;-0.0078;-1.7658;-3.6914
47;50;-0.0132;-1.8816;-3.849
48;50;-0.0216;-1.9802;-3.9608
49;49.99;-0.0342;-2.0612;-4.0241
50;50;-0.0525;-2.1256;-4.0385
51;50;-0.0782;-2.1753;-4.0057
52;50;-0.1134;-2.2131;-3.9288
53;49.35;-0.1395;-2.2306;-3.8252
54;50;-0.1587;-2.2401;-3.7065
55;50;-0.1798;-2.2484;-3.5702
56;50;-0.203;-2.2556;-3.4222
57;50;-0.2282;-2.2617;-3.2695
58;50;-0.2555;-2.2669;-3.1202
59;50;-0.285;-2.271;-2.981
60;50;-0.3167;-2.2743;-2.8572
61;49.99;-0.3504;-2.2768;-2.752
62;50;-0.3856;-2.2785;-2.666
63;50;-0.4228;-2.2793;-2.5972
64;50;-0.462;-2.2796;-2.5431
65;49.99;-0.5035;-2.2789;-2.4998
66;50;-0.5488;-2.2775;-2.4638
67;49.99;-0.5951;-2.2752;-2.4336
68;50;-0.6421;-2.2721;-2.407
69;50;-0.6904;-2.2682;-2.3824
70;50;-0.7395;-2.2631;-2.3587
71;49.99;-0.7892;-2.2569;-2.3353
72;48.28;-0.7666;-2.259;-2.3352
73;50;-0.692;-2.2657;-2.3484
74;50;-0.6187;-2.2695;-2.3564
75;50;-0.5472;-2.2702;-2.3582
76;49.99;-0.4795;-2.2673;-2.3524
77;47.98;-0.4927;-2.256;-2.3194
78;49.99;-0.5619;-2.2317;-2.2712
79;49.99;-0.6246;-2.191;-2.2144
80;49.99;-0.6747;-2.1283;-2.1415
81;49.99;-0.7058;-2.0381;-2.0453
82;49.81;-0.7351;-1.9141;-1.9176
83;49.99;-0.7809;-1.7597;-1.7613
84;49.99;-0.7906;-1.576;-1.5768
85;28.95;-0.784;-1.4607;-1.4612
86;49.99;-0.7266;-1.2438;-1.244
87;49.99;-0.641;-1.0214;-1.0215
88;49.99;-0.5392;-0.8069;-0.807
89;49.99;-0.4315;-0.6116;-0.6116
90;49.95;-0.3259;-0.4427;-0.4427
91;49.99;-0.2306;-0.3045;-0.3045
92;49.99;-0.1546;-0.1992;-0.1992
93;49.99;-0.0982;-0.1238;-0.1238
94;49.99;-0.0589;-0.0729;-0.0729
95;48.93;-0.0333;-0.0415;-0.0415
96;49.98;-0.0184;-0.0239;-0.0239
97;49.99;-0.0096;-0.0133;-0.0133
98;49.99;-0.0047;-0.007;-0.007
99;49.99;-0.0022;-0.0035;-0.0035
100;49.99;-0.0009;-0.0017;-0.0017
101;49.95;-0.0004;-0.0008;-0.0008
102;48.87;-0.0001;-0.0003;-0.0003
103;49.81;-0.0001;-0.0001;-0.0001
104;49.99;0;0;0
105;45.95;0;0;0
106;49.99;0;0;0
107;49.99;0;0;0
108;49.99;0;0;0
109;49.99;0;0;0
110;49.99;0;0;0
111;49.99;0;0;0
112;49.99;0;0;0
113;49.99;0;0;0
114;49.99;0;0;0
